event_id,code,name,horizon,signal_date,buy_close,exit_date,exit_close,net_return,max_intraday_drawdown,max_close_drawdown,status
600110:b1_close:1:20260703,600110,600110,1,2026-07-03,15.75,2026-07-06,14.39,-0.08634920634920629,-0.09841269841269851,-0.08634920634920629,filled
600110:b1_close:2:20260703,600110,600110,2,2026-07-03,15.75,2026-07-07,15.23,-0.03301587301587294,-0.09841269841269851,-0.08634920634920629,filled
600110:b1_close:3:20260703,600110,600110,3,2026-07-03,15.75,2026-07-08,13.71,-0.12952380952380949,-0.12952380952380949,-0.12952380952380949,filled
600110:b1_close:4:20260703,600110,600110,4,2026-07-03,15.75,2026-07-09,13.44,-0.14666666666666672,-0.20253968253968246,-0.14666666666666672,filled
600110:b1_close:5:20260703,600110,600110,5,2026-07-03,15.75,2026-07-10,12.82,-0.186031746031746,-0.20253968253968246,-0.186031746031746,filled
600176:b1_close:1:20260609,600176,600176,1,2026-06-09,39.12,2026-06-10,39.37,0.006390593047034709,-0.005623721881390598,0.0,filled
600176:b1_close:2:20260609,600176,600176,2,2026-06-09,39.12,2026-06-11,41.07,0.049846625766871266,-0.02862985685071573,0.0,filled
600176:b1_close:3:20260609,600176,600176,3,2026-06-09,39.12,2026-06-12,41.61,0.06365030674846639,-0.02862985685071573,0.0,filled
600176:b1_close:4:20260609,600176,600176,4,2026-06-09,39.12,2026-06-15,45.77,0.169989775051125,-0.02862985685071573,0.0,filled
600176:b1_close:5:20260609,600176,600176,5,2026-06-09,39.12,2026-06-16,49.64,0.268916155419223,-0.02862985685071573,0.0,filled
600246:b1_close:1:20260707,600246,600246,1,2026-07-07,18.6,2026-07-08,19.5,0.048387096774193505,-0.012903225806451757,0.0,filled
600246:b1_close:2:20260707,600246,600246,2,2026-07-07,18.6,2026-07-09,20.79,0.11774193548387091,-0.012903225806451757,0.0,filled
600246:b1_close:3:20260707,600246,600246,3,2026-07-07,18.6,2026-07-10,19.8,0.06451612903225801,-0.012903225806451757,0.0,filled
600246:b1_close:4:20260707,600246,600246,4,2026-07-07,18.6,2026-07-13,19.91,0.07043010752688161,-0.012903225806451757,0.0,filled
600246:b1_close:5:20260707,600246,600246,5,2026-07-07,18.6,2026-07-14,19.17,0.030645161290322687,-0.012903225806451757,0.0,filled
600367:b1_close:1:20260626,600367,600367,1,2026-06-26,58.28,2026-06-29,57.21,-0.0183596431022649,-0.05610844200411813,-0.0183596431022649,filled
600367:b1_close:2:20260626,600367,600367,2,2026-06-26,58.28,2026-06-30,62.93,0.07978723404255317,-0.05610844200411813,-0.0183596431022649,filled
600367:b1_close:3:20260626,600367,600367,3,2026-06-26,58.28,2026-07-01,63.8,0.09471516815374059,-0.05610844200411813,-0.0183596431022649,filled
600367:b1_close:4:20260626,600367,600367,4,2026-06-26,58.28,2026-07-02,58.28,0.0,-0.05610844200411813,-0.0183596431022649,filled
600367:b1_close:5:20260626,600367,600367,5,2026-06-26,58.28,2026-07-03,52.98,-0.09094028826355527,-0.09557309540150993,-0.09094028826355527,filled
600460:b1_close:1:20260615,600460,600460,1,2026-06-15,35.37,2026-06-16,38.28,0.08227311280746408,0.0,0.0,filled
600460:b1_close:2:20260615,600460,600460,2,2026-06-15,35.37,2026-06-17,40.83,0.15436810856658179,0.0,0.0,filled
600460:b1_close:3:20260615,600460,600460,3,2026-06-15,35.37,2026-06-18,41.83,0.18264065592309864,0.0,0.0,filled
600460:b1_close:4:20260615,600460,600460,4,2026-06-15,35.37,2026-06-22,44.8,0.26661012157195363,0.0,0.0,filled
600460:b1_close:5:20260615,600460,600460,5,2026-06-15,35.37,2026-06-23,47.04,0.32994062765055143,0.0,0.0,filled
600460:b1_close:1:20260709,600460,600460,1,2026-07-09,48.4,2026-07-10,44.51,-0.0803719008264463,-0.08429752066115703,-0.0803719008264463,filled
600460:b1_close:2:20260709,600460,600460,2,2026-07-09,48.4,2026-07-13,41.93,-0.13367768595041318,-0.14090909090909087,-0.13367768595041318,filled
600460:b1_close:3:20260709,600460,600460,3,2026-07-09,48.4,2026-07-14,41.8,-0.13636363636363635,-0.18739669421487604,-0.13636363636363635,filled
