audit_key,execution_mode,timing_definition,signal_date,effective_timestamp,event,label,prior_state,resulting_state,state_windows_equal,state_window_signature_sha256,calendar_extension_source
same_day_1455__single_day_4pct__2026-06-08__01,same_day_1455,single_day_4pct,2026-06-08,2026-06-08 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__single_day_4pct__2026-06-15__02,same_day_1455,single_day_4pct,2026-06-15,2026-06-15 14:55:00,up,single_day_0amv_rise_at_least_4pct,risk_off,risk_on,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__single_day_4pct__2026-07-02__03,same_day_1455,single_day_4pct,2026-07-02,2026-07-02 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_on,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__single_day_4pct__2026-07-07__04,same_day_1455,single_day_4pct,2026-07-07,2026-07-07 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__single_day_4pct__2026-07-08__05,same_day_1455,single_day_4pct,2026-07-08,2026-07-08 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__single_day_4pct__2026-07-13__06,same_day_1455,single_day_4pct,2026-07-13,2026-07-13 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__single_day_4pct__2026-07-16__07,same_day_1455,single_day_4pct,2026-07-16,2026-07-16 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__single_day_4pct__2026-07-17__08,same_day_1455,single_day_4pct,2026-07-17,2026-07-17 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__two_day_total_4pct__2026-06-08__01,same_day_1455,two_day_total_4pct,2026-06-08,2026-06-08 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__two_day_total_4pct__2026-06-15__02,same_day_1455,two_day_total_4pct,2026-06-15,2026-06-15 14:55:00,up,two_session_0amv_cumulative_rise_at_least_4pct,risk_off,risk_on,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__two_day_total_4pct__2026-06-22__03,same_day_1455,two_day_total_4pct,2026-06-22,2026-06-22 14:55:00,up,two_session_0amv_cumulative_rise_at_least_4pct_confirmation_20260618_20260622,risk_on,risk_on,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__two_day_total_4pct__2026-07-02__04,same_day_1455,two_day_total_4pct,2026-07-02,2026-07-02 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_on,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__two_day_total_4pct__2026-07-07__05,same_day_1455,two_day_total_4pct,2026-07-07,2026-07-07 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__two_day_total_4pct__2026-07-08__06,same_day_1455,two_day_total_4pct,2026-07-08,2026-07-08 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__two_day_total_4pct__2026-07-13__07,same_day_1455,two_day_total_4pct,2026-07-13,2026-07-13 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__two_day_total_4pct__2026-07-16__08,same_day_1455,two_day_total_4pct,2026-07-16,2026-07-16 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
same_day_1455__two_day_total_4pct__2026-07-17__09,same_day_1455,two_day_total_4pct,2026-07-17,2026-07-17 14:55:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,e3498cc2234ec673b0664a46a5b1358ff49ee7adf0fbc2e705ae06c268dd7dce,
next_session_0935__single_day_4pct__2026-06-08__01,next_session_0935,single_day_4pct,2026-06-08,2026-06-09 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__single_day_4pct__2026-06-15__02,next_session_0935,single_day_4pct,2026-06-15,2026-06-16 09:35:00,up,single_day_0amv_rise_at_least_4pct,risk_off,risk_on,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__single_day_4pct__2026-07-02__03,next_session_0935,single_day_4pct,2026-07-02,2026-07-03 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_on,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__single_day_4pct__2026-07-07__04,next_session_0935,single_day_4pct,2026-07-07,2026-07-08 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__single_day_4pct__2026-07-08__05,next_session_0935,single_day_4pct,2026-07-08,2026-07-09 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__single_day_4pct__2026-07-13__06,next_session_0935,single_day_4pct,2026-07-13,2026-07-14 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__single_day_4pct__2026-07-16__07,next_session_0935,single_day_4pct,2026-07-16,2026-07-17 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__single_day_4pct__2026-07-17__08,next_session_0935,single_day_4pct,2026-07-17,2026-07-20 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__two_day_total_4pct__2026-06-08__01,next_session_0935,two_day_total_4pct,2026-06-08,2026-06-09 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__two_day_total_4pct__2026-06-15__02,next_session_0935,two_day_total_4pct,2026-06-15,2026-06-16 09:35:00,up,two_session_0amv_cumulative_rise_at_least_4pct,risk_off,risk_on,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__two_day_total_4pct__2026-06-22__03,next_session_0935,two_day_total_4pct,2026-06-22,2026-06-23 09:35:00,up,two_session_0amv_cumulative_rise_at_least_4pct_confirmation_20260618_20260622,risk_on,risk_on,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__two_day_total_4pct__2026-07-02__04,next_session_0935,two_day_total_4pct,2026-07-02,2026-07-03 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_on,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__two_day_total_4pct__2026-07-07__05,next_session_0935,two_day_total_4pct,2026-07-07,2026-07-08 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__two_day_total_4pct__2026-07-08__06,next_session_0935,two_day_total_4pct,2026-07-08,2026-07-09 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__two_day_total_4pct__2026-07-13__07,next_session_0935,two_day_total_4pct,2026-07-13,2026-07-14 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__two_day_total_4pct__2026-07-16__08,next_session_0935,two_day_total_4pct,2026-07-16,2026-07-17 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
next_session_0935__two_day_total_4pct__2026-07-17__09,next_session_0935,two_day_total_4pct,2026-07-17,2026-07-20 09:35:00,down,single_day_0amv_fall_at_least_3pct,risk_off,risk_off,True,576ebc5574d0b67b1c55d123cda6571df7cd00f46cd928d51f2377ecb50a5b7d,https://www.sse.com.cn/disclosure/dealinstruc/closed/c/c_20251222_10802510.shtml
