comparison_key,pool,position_config,timing_variant,source_run_key,source_directory,total_net_return,max_drawdown_5m,max_drawdown_low,max_drawdown_daily,closed_trade_count,open_trade_count,win_rate_denominator,win_rate,profit_factor,capital_utilization,turnover,regime_exit_count,analysis_session_count,risk_on_session_count,zero_trade_count_flag,low_trade_count_flag,return_delta_vs_baseline,same_day_minus_next_session_return,max_drawdown_5m_delta_vs_baseline,same_day_minus_next_session_max_drawdown_5m,max_drawdown_low_delta_vs_baseline,same_day_minus_next_session_max_drawdown_low,max_drawdown_daily_delta_vs_baseline,same_day_minus_next_session_max_drawdown_daily
ai_semiconductor__canonical__baseline,ai_semiconductor,canonical,baseline,ai_semiconductor__canonical__baseline,outputs/intraday_b1_final_verified_20260718/ai_canonical_20260717,-0.0055699810626159696,-0.18831167798652693,-0.18831167798652693,-0.17540810564851317,16,0,16,0.5,0.9821970587130483,0.5202404078059738,11.409711215110764,0,34,34,False,False,0,0.063234574163056001,0,0.013053824087819299,0,0.010340990763485935,0,0.048525501724660081
ai_semiconductor__canonical__same_day_1455,ai_semiconductor,canonical,same_day_1455,ai_semiconductor__canonical__same_day_1455,outputs/intraday_b1_active_market_cap_20260719/ai_semiconductor__canonical__same_day_1455,0.086572648749994041,-0.060443902184321496,-0.06315673550865486,-0.01943915333938151,6,0,6,0.66666666666666663,2.15045827304714,0.1861806850419325,4.1990043776881354,0,34,12,False,True,0.092142629812610011,0.063234574163056001,0.12786777580220543,0.013053824087819299,0.12515494247787207,0.010340990763485935,0.15596895230913166,0.048525501724660081
ai_semiconductor__canonical__next_session_0935,ai_semiconductor,canonical,next_session_0935,ai_semiconductor__canonical__next_session_0935,outputs/intraday_b1_active_market_cap_20260719/ai_semiconductor__canonical__next_session_0935,0.02333807458693804,-0.073497726272140795,-0.073497726272140795,-0.06796465506404159,5,0,5,0.59999999999999998,1.3128643747280526,0.1486594452509693,3.4389318031745462,0,34,12,False,True,0.02890805564955401,0.063234574163056001,0.11481395171438613,0.013053824087819299,0.11481395171438613,0.010340990763485935,0.10744345058447158,0.048525501724660081
ai_semiconductor__risk025__baseline,ai_semiconductor,risk025,baseline,ai_semiconductor__risk025__baseline,outputs/intraday_b1_final_verified_20260718/ai_risk025_20260717,0.0071951725937287048,-0.13785747256735226,-0.13785747256735226,-0.12703600336336074,16,0,16,0.5,1.0328945409773218,0.37767488234981939,8.2161511803326626,0,34,34,False,False,0,0.046086404708767237,0,0.0092619446202061306,0,0.0072219971898986879,0,0.035679174926966262
ai_semiconductor__risk025__same_day_1455,ai_semiconductor,risk025,same_day_1455,ai_semiconductor__risk025__same_day_1455,outputs/intraday_b1_active_market_cap_20260719/ai_semiconductor__risk025__same_day_1455,0.065547779510208848,-0.045460375656221519,-0.047500323086528962,-0.0148365551934736,6,0,6,0.66666666666666663,2.1771647950288964,0.13998946138573626,3.1244888998378912,0,34,12,False,True,0.058352606916480143,0.046086404708767237,0.092397096911130738,0.0092619446202061306,0.090357149480823296,0.0072219971898986879,0.11219944816988714,0.035679174926966262
ai_semiconductor__risk025__next_session_0935,ai_semiconductor,risk025,next_session_0935,ai_semiconductor__risk025__next_session_0935,outputs/intraday_b1_active_market_cap_20260719/ai_semiconductor__risk025__next_session_0935,0.019461374801441611,-0.05472232027642765,-0.05472232027642765,-0.050515730120439861,5,0,5,0.59999999999999998,1.3588094565836433,0.1105235880709162,2.5370754552288024,0,34,12,False,True,0.012266202207712906,0.046086404708767237,0.083135152290924608,0.0092619446202061306,0.083135152290924608,0.0072219971898986879,0.076520273242920878,0.035679174926966262
innovative_drug__canonical__baseline,innovative_drug,canonical,baseline,innovative_drug__canonical__baseline,outputs/intraday_b1_final_verified_20260718/innovative_drug_canonical_20260717,0.099406282025887194,-0.045421652162601744,-0.047048660298994571,-0.030503881561046331,3,1,3,1,inf,0.15124984463523417,2.4437313533138814,0,34,34,False,True,0,0,0,0,0,0,0,0
innovative_drug__canonical__same_day_1455,innovative_drug,canonical,same_day_1455,innovative_drug__canonical__same_day_1455,outputs/intraday_b1_active_market_cap_20260719/innovative_drug__canonical__same_day_1455,0,0,0,0,0,0,0,,,0,0,0,34,12,True,False,-0.099406282025887194,0,0.045421652162601744,0,0.047048660298994571,0,0.030503881561046331,0
innovative_drug__canonical__next_session_0935,innovative_drug,canonical,next_session_0935,innovative_drug__canonical__next_session_0935,outputs/intraday_b1_active_market_cap_20260719/innovative_drug__canonical__next_session_0935,0,0,0,0,0,0,0,,,0,0,0,34,12,True,False,-0.099406282025887194,0,0.045421652162601744,0,0.047048660298994571,0,0.030503881561046331,0
innovative_drug__risk025__baseline,innovative_drug,risk025,baseline,innovative_drug__risk025__baseline,outputs/intraday_b1_final_verified_20260718/innovative_drug_risk025_20260717,0.07463910070390023,-0.040889848279361818,-0.041759268448617215,-0.026329667277253277,3,1,3,1,inf,0.11582141443093617,1.8895386717254761,0,34,34,False,True,0,0,0,0,0,0,0,0
innovative_drug__risk025__same_day_1455,innovative_drug,risk025,same_day_1455,innovative_drug__risk025__same_day_1455,outputs/intraday_b1_active_market_cap_20260719/innovative_drug__risk025__same_day_1455,0,0,0,0,0,0,0,,,0,0,0,34,12,True,False,-0.07463910070390023,0,0.040889848279361818,0,0.041759268448617215,0,0.026329667277253277,0
innovative_drug__risk025__next_session_0935,innovative_drug,risk025,next_session_0935,innovative_drug__risk025__next_session_0935,outputs/intraday_b1_active_market_cap_20260719/innovative_drug__risk025__next_session_0935,0,0,0,0,0,0,0,,,0,0,0,34,12,True,False,-0.07463910070390023,0,0.040889848279361818,0,0.041759268448617215,0,0.026329667277253277,0
battery__canonical__baseline,battery,canonical,baseline,battery__canonical__baseline,outputs/intraday_b1_final_verified_20260718/battery_canonical_20260717,-0.12941352832841913,-0.16011324472255561,-0.16167936929035043,-0.15756173944645102,12,0,12,0.33333333333333331,0.36143539548748743,0.32476427744323133,7.1816146942153738,0,34,34,False,False,0,-0.0042424707030869202,0,0,0,0,0,-0.00088805790615764657
